HTS,year,MFN_adval,MFN_specific,COL2_adval,COL2_specific,MFN_text,COL2_text,special_rate
0101.11.00,1989,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1991,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1992,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1993,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1994,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1995,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.11.00,1996,0.0,0.0,0.0,0.0,Free  ,Free  ,False
0101.19.00,1989,0.0,0.0,20.0,0.0,Free  ,20%  ,False
0101.19.00,1991,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.19.00,1992,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.19.00,1993,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.19.00,1994,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.19.00,1995,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.19.00,1996,0.0,0.0,20.0,0.0,Free    ,20%    ,False
0101.20.10,1989,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1991,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1992,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1993,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1994,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1995,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.10,1996,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.20,1989,15.0,0.0,15.0,0.0,15% ,15% ,False
0101.20.20,1991,15.0,0.0,15.0,0.0,15% ,15% ,False
0101.20.20,1992,15.0,0.0,15.0,0.0,15% ,15% ,False
0101.20.20,1993,15.0,0.0,15.0,0.0,15% ,15% ,False
0101.20.20,1994,15.0,0.0,15.0,0.0,15% ,15% ,False
0101.20.20,1995,13.600000000000001,0.0,15.0,0.0,13.6%  ,15%  ,False
0101.20.20,1996,12.3,0.0,15.0,0.0,12.3%  ,15%  ,False
0101.20.30,1989,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1991,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1992,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1993,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1994,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1995,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.30,1996,0.0,0.0,0.0,0.0,Free,Free,False
0101.20.40,1989,10.0,0.0,20.0,0.0,10%  ,20%  ,False
0101.20.40,1991,10.0,0.0,20.0,0.0,10%  ,20%  ,False
0101.20.40,1992,10.0,0.0,20.0,0.0,10%  ,20%  ,False
0101.20.40,1993,10.0,0.0,20.0,0.0,10%  ,20%  ,False
0101.20.40,1994,10.0,0.0,20.0,0.0,10%  ,20%  ,False
0101.20.40,1995,9.1,0.0,20.0,0.0,9.1%  ,20%  ,False
0101.20.40,1996,8.2,0.0,20.0,0.0,8.2%  ,20%  ,False
0102.10.00,1989,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1991,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1992,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1993,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1994,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1995,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.10.00,1996,0.0,0.0,0.0,0.0,Free       ,Free       ,False
0102.90.20,1989,0.0,0.0,0.0,0.066, Free , 6.6¢/kg ,False
0102.90.20,1991,0.0,0.0,0.0,0.066, Free    , 6.6¢/kg    ,False
0102.90.20,1992,0.0,0.0,0.0,0.066, Free    , 6.6¢/kg    ,False
0102.90.20,1993,0.0,0.0,0.0,0.066, Free    , 6.6¢/kg    ,False
0102.90.20,1994,0.0,0.0,0.0,0.066, Free    , 6.6¢/kg    ,False
0102.90.20,1995,0.0,0.0,0.0,0.066, Free    , 6.6¢/kg    ,False
